101000;A. Chantrainestraat;51.16388937021345;4.392073389160737;Wilrijk
101001;Zurenborg;51.20624969023759;4.42550621473228;Antwerpen
101002;Verenigde Natieslaan;51.16606659417422;4.357705800030343;Hoboken
101003;Verenigde Natieslaan;51.166021637406374;4.357548549004122;Hoboken
101004;D. Baginierlaan;51.174054839412754;4.341260275816016;Hoboken
101005;A. Chantrainestraat;51.16300843934687;4.392315960084608;Wilrijk
101006;Fotografielaan;51.159774888706686;4.36212420848111;Wilrijk
101007;Fotografielaan;51.15996363300075;4.361809703307476;Wilrijk
101008;Moerelei;51.16295566692438;4.385797177482637;Wilrijk
101009;Moerelei;51.163459288346274;4.38396752309872;Wilrijk
101010;J. De Voslei;51.188743165936835;4.389583082467416;Antwerpen
101011;Middelheim Vijver;51.18297254153696;4.418927404052235;Antwerpen
101012;Antarctica;51.16220188106436;4.372316437753825;Wilrijk
101013;Antarctica;51.16195022546374;4.371558768815994;Wilrijk
101014;Rozenkransplein;51.17942171543447;4.391480757849793;Wilrijk
101015;Rozenkransplein;51.17950258375939;4.391623804277545;Wilrijk
101016;L. Kieboomsstraat;51.1750618209695;4.393666351257672;Wilrijk
101017;L. Kieboomsstraat;51.17543040984701;4.393394866080753;Wilrijk
101018;Rooiboslaan;51.176906438662385;4.3818843374408045;Wilrijk
101019;Rooiboslaan;51.1766817117476;4.3819986686294135;Wilrijk
101020;A. Grisarstraat;51.20007715794259;4.420033379628562;Antwerpen
101022;Wilsonweg;51.16294055779129;4.410013768656152;Wilrijk
101023;Dr. Donnyplein;51.16838013271727;4.405600829309077;Wilrijk
101024;Dr. Donnyplein;51.168478984200114;4.405672394848587;Wilrijk
101025;Hermans;51.230431053771;4.473867555064085;Deurne
101026;Klaproosstraat;51.170015536150046;4.4071891869430475;Wilrijk
101027;Klaproosstraat;51.169988518257036;4.40734643867499;Wilrijk
101030;Hermans;51.23044818132238;4.474812464853123;Deurne
101035;Te Boelaarlei;51.20410352021756;4.452088081315307;Borgerhout
101036;Hoogheide;51.04274556145907;4.295350806249249;Breendonk
101045;A. Stockmanslei;51.17751580447628;4.451725612620773;Mortsel
101046;Acacialaan;51.119283816984975;4.32956603462865;Schelle
101047;Acacialaan;51.11919392969446;4.32956610867027;Schelle
101048;A. Van Cauwelaert;51.22006065196196;4.375155699165998;Antwerpen
101049;A. Van Cauwelaert;51.22024943553594;4.374683396252155;Antwerpen
101050;A. Van De Wielelei;51.21819968255561;4.481597157873297;Deurne
101054;Bikschotelaan;51.1930690509778;4.447204592802219;Berchem
101055;A. Van De Wielelei;51.218343880874144;4.4811967586437875;Deurne
101060;Industrieweg;51.09519980229179;4.358420958201353;Boom
101061;Industrieweg;51.09527170453894;4.358321019632019;Boom
101062;Tunnelweg;51.09981060162928;4.353908726205774;Boom
101063;Tunnelweg;51.0997566568392;4.353808809201104;Boom
101064;Hof Daman;51.110112525351866;4.371911871705548;Reet
101066;Werkplaatsen;51.15654583904079;4.344800832509789;Hemiksem
101067;Werkplaatsen;51.15661776475718;4.344886558136478;Hemiksem
101068;Irisweg;51.154451928753;4.34713162019239;Hemiksem
101069;Irisweg;51.154406962811976;4.347003004256428;Hemiksem
101070;Aartselaarstraat;51.17672747683201;4.367899145127368;Hoboken
101071;Heiligstraat;51.150218731706005;4.349806049546559;Hemiksem
101072;Heiligstraat;51.150740043217084;4.349620052692914;Hemiksem
101073;Landbouwweg;51.14755776526122;4.347777795602294;Hemiksem
101074;Landbouwweg;51.14756677836376;4.3479206997410484;Hemiksem
101075;Aartselaarstraat;51.17761734195531;4.3682852422429805;Hoboken
101076;Gemeenteplaats;51.14429468614323;4.346636028220911;Hemiksem
101077;Gemeenteplaats;51.14434862062169;4.346650293302727;Hemiksem
101078;Kerkstraat;51.142918999940285;4.344421804784956;Hemiksem
101079;Kerkstraat;51.14307186390752;4.3447075160277215;Hemiksem
101080;Abdijstraat;51.189841280589405;4.378283624449122;Antwerpen
101081;Beukenlaan;51.13971031322489;4.3457808266854405;Hemiksem
101082;Beukenlaan;51.1396383277278;4.345380786385207;Hemiksem
101083;Bouwerijstraat;51.13692363893024;4.3448106023409485;Hemiksem
101084;Bouwerijstraat;51.136977494341544;4.34442481125706;Hemiksem
101085;Abdijstraat;51.190740094524784;4.378684334199254;Antwerpen
101086;Atletiekstraat;51.136500576998564;4.341967616279662;Hemiksem
101087;Atletiekstraat;51.136599436588355;4.3418961238097;Hemiksem
101088;Station;51.13622987297195;4.337610129503832;Hemiksem
101089;Station;51.13632876311465;4.337667214517293;Hemiksem
101090;Eglantierlaan;51.18218955385134;4.39445683981605;Wilrijk
101093;Het Geleeg;51.1114406916125;4.345108873216279;Niel
101094;Het Geleeg;51.111234089688516;4.345837239188151;Niel
101110;Straatsburgdok;51.24114507559466;4.420107815667045;Antwerpen
101125;Bestorming;51.20640399122187;4.396717030896332;Antwerpen
101130;Begijnenvest;51.20992607411117;4.401942313463132;Antwerpen
101131;Lode Zielensstraat;51.11178166777487;4.342224173267471;Niel
101132;Lode Zielensstraat;51.111916467716206;4.34208129970297;Niel
101133;Dr. Veeckmanslaan;51.17618631498;4.388962410258904;Wilrijk
101134;Dr. Veeckmanslaan;51.177175154105505;4.388390858292105;Wilrijk
101135;Sint-Jansplein;51.22451839710245;4.415938080065873;Antwerpen
101136;Sint-Jansplein;51.224698013245686;4.4163104401869;Antwerpen
101137;Geleegweg;51.15855084434066;4.388354159997687;Wilrijk
101138;Geleegweg;51.1588924647597;4.388039834510923;Wilrijk
