Ronse (Renaix);26304
Wortegem‐Petegem;6439
Zingem;7553
Zwalm;8130
Beveren;48162
Kruibeke;16661
Lokeren;41421
Sint‐Gillis‐Waas;19258
Sint‐Niklaas (Saint‐Nicolas);76670
Stekene;18342
Temse (Tamise);29512
Beernem;15683
Blankenberge;20297
Brugge (Bruges);118136
Damme;11011
Jabbeke;13876
Knokke‐Heist;33058
Oostkamp;23577
Torhout;20504
Zedelgem;22637
Zuienkerke;2732
Diksmuide (Dixmude);16729
Houthulst;10033
Koekelare;8793
Kortemark;12569
Lo‐Reninge;3288
Heuvelland;7846
Ieper (Ypres);34950
Langemark‐Poelkapelle;7907
Mesen (Messines);1037
Poperinge;19717
Vleteren;3658
Wervik;18632
Zonnebeke;12444
Anzegem;14599
Avelgem;10063
Deerlijk;11794
Harelbeke;27879
Kortrijk (Courtrai);76242
Kuurne;13318
Lendelede;5739
Menen (Menin);33141
Spiere‐Helkijn (Espierres‐Helchin);2086
Waregem;38104
Wevelgem;31385
Zwevegem;24602
Bredene;17817
De Haan;12628
Gistel;12050
Ichtegem;13940
Middelkerke;19360
Oostende (Ostende);71224
Oudenburg;9291
Hooglede;9949
Ingelmunster;10923
Izegem;27728
Ledegem;9720
Lichtervelde;8791
Moorslede;11081
Roeselare (Roulers);62209
Staden;11374
Ardooie;8988
Dentergem;8483
Meulebeke;10891
Oostrozebeke;7847
Pittem;6749
Ruiselede;5385
Tielt;20392
Wielsbeke;9581
Wingene;14229
Alveringem;5087
De Panne (La Panne);11107
Koksijde;21956
Nieuwpoort (Nieuport);11552
Veurne (Furnes);11795
Beauvechain (Bevekom);7224
Braine‐l'Alleud (Eigenbrakel);39833
Braine‐le‐Château (Kasteelbrakel);10435
Chastre;7600
Chaumont‐Gistoux;11706
Court‐Saint‐Etienne;10503
Genappe (Genepiën);15350
Grez‐Doiceau (Graven);13379
Hélécine;3480
Incourt;5387
Ittre (Itter);6875
Jodoigne (Geldenaken);14075
La Hulpe (Terhulpen);7305
Lasne;14232
Mont‐Saint‐Guibert;7560
Nivelles (Nijvel);28503
Orp‐Jauche;8856
Ottignies‐Louvain‐la‐Neuve;31347
Perwez (Perwijs);9290
Ramillies;6395
Rebecq;11004
Rixensart;22381
Tubize (Tubeke);25902
Villers‐la‐Ville;10714
Walhain;7168
Waterloo;30171
Wavre (Waver);34310
Ath (Aat);29151
Beloeil;14021
Bernissart;11868
Brugelette;3649
Chièvres;6915
Ellezelles (Elzele);6000
Flobecq (Vloesberg);3422
Frasnes‐lez‐Anvaing;11736
Aiseau‐Presles;10786
Chapelle‐lez‐Herlaimont;14866
Charleroi;201327
Châtelet;36063
Courcelles;31309
Farciennes;11251
Fleurus;22704
Fontaine‐l'Evêque;17782
Gerpinnes;12651
Les Bons Villers;9457
Manage;23116
Montigny‐le‐Tilleul;10136
Pont‐à‐Celles;17283
Seneffe;11267
Boussu;19839
Colfontaine;20758
Dour;16711
Frameries;21863
Hensies;6831
Honnelles;5136
Jurbise (Jurbeke);10477
Lens;4515
Mons (Bergen);95230
Quaregnon;18988
Quévy;8105
Quiévrain;6756
Saint‐Ghislain;23311
Comines‐Warneton (Komen‐Waasten);17992
Mouscron (Moeskroen);58164
Braine‐le‐Comte ('s Gravenbrakel);21613
Ecaussinnes;11118
Enghien (Edingen);13719
La Louvière;80464
Le Roeulx;8615
Lessines (Lessen);18539
Silly (Opzullik);8403
Soignies (Zinnik);27573
Anderlues;12256
Beaumont;7131
Binche;33590
Chimay;9834
Erquelinnes;9930
Estinnes;7716
Froidchapelle;3952
Ham‐sur‐Heure‐Nalinnes;13532
Lobbes;5851
Merbes‐le‐Château;4250
Momignies;5308
Morlanwelz;18998
Sivry‐Rance;4832
