Brussel;50.8427501;4.351549900000009
Bruxelles;50.8427501;4.351549900000009
Ass. Réun. Com. Communau. Commune;;
Brusselse Hoofdstedelijke Raad;50.84487679999999;4.351433499999985
Conseil Region Bruxelles-Capitale;50.847857;4.367408000000069
Ver. Verg. Gemeensch. Gemeensch. Comm.;;
Raad Vlaamse Gemeenschapscommissie;;
Ass. Commiss. Communau. française;;
Chambre des Représentants;50.84655679999999;4.364662199999998
Kamer van Volksvertegenwoordigers;50.84655679999999;4.364662199999998
Belgische Senaat;;
Senat de Belgique;50.79834;4.395649999999932
Cité Administrative de l'Etat;;
Rijksadministratief Centrum;50.8243276;4.513954300000023
Vlaamse Raad - Vlaams Parlement;;
Parlement de la Communauté française;50.8466387;4.361992399999963
Brussel (Laken);50.884218;4.358000199999992
Bruxelles (Laeken);50.884218;4.358000199999992
Laeken (Bruxelles);50.884218;4.358000199999992
Laken (Brussel);50.884218;4.358000199999992
Brussel (Schaarbeek);50.86743999999999;4.377269999999953
Bruxelles (Schaerbeek);50.86743999999999;4.377269999999953
Schaarbeek;50.86743999999999;4.377269999999953
Schaerbeek;50.86743999999999;4.377269999999953
Christelijke Sociale Organisaties;;
Organisations Sociales Chrétiennes;;
Brussel (Etterbeek);50.83217699999999;4.388949000000025
Bruxelles (Etterbeek);50.83217699999999;4.388949000000025
Etterbeek;50.83217699999999;4.388949000000025
International Press Center;;
VRT;50.8530691;4.404355600000031
RTBF;50.85079;4.402888999999959
D.I.V.;50.85815729999999;4.359907700000008
Europees Parlement;50.83886649999999;4.374976599999968
Parlement Européen;50.83886649999999;4.374976599999968
E.U.-Raad;50.847857;4.367408000000069
U.E.-Conseil;50.847857;4.367408000000069
E.U.-Commissie;50.83862;4.3502300000000105
U.E.-Commission;50.8393846;4.364352300000064
Brussel (Elsene);50.8333333;4.366666699999996
Bruxelles (Ixelles);50.8333333;4.366666699999996
Elsene;50.8333333;4.366666699999996
Ixelles;50.8333333;4.366666699999996
Brussel (Sint-Gillis);50.8301436;4.340218400000026
Bruxelles (Saint-Gilles);50.8301436;4.340218400000026
Saint-Gilles;50.8301436;4.340218400000026
Sint-Gillis;50.8301436;4.340218400000026
Anderlecht;50.8365808;4.308186999999975
Brussel (Anderlecht);50.8365808;4.308186999999975
Bruxelles (Anderlecht);50.8365808;4.308186999999975
Brussel (Sint-Jans-Molenbeek);50.84999999999999;4.316666700000042
Bruxelles (Molenbeek-Saint-Jean);50.84999999999999;4.316666700000042
Molenbeek-Saint-Jean;50.84999999999999;4.316666700000042
Sint-Jans-Molenbeek;50.84999999999999;4.316666700000042
Brussel (Koekelberg);50.859029;4.3303339999999935
Bruxelles (Koekelberg);50.859029;4.3303339999999935
Koekelberg;50.859029;4.3303339999999935
Berchem-Sainte-Agathe;50.865341;4.295748000000003
Brussel (Sint-Agatha-Berchem);50.865341;4.295748000000003
Bruxelles (Berchem-Sainte-Agathe);50.865341;4.295748000000003
Sint-Agatha-Berchem;50.865341;4.295748000000003
Brussel (Ganshoren);50.87113;4.302529999999933
Bruxelles (Ganshoren);50.87113;4.302529999999933
Ganshoren;50.87113;4.302529999999933
Brussel (Jette);50.8730556;4.333888900000034
Bruxelles (Jette);50.8730556;4.333888900000034
Jette;50.8730556;4.333888900000034
Postcheque;50.81348999999999;4.384400000000028
SOC;50.0107;5.735720000000015
NAVO - NATO;50.87628309999999;4.421970699999974
OTAN - NATO;50.87628309999999;4.421970699999974
Brussel (Neder-Over-Heembeek);50.905667;4.3969110000000455
Bruxelles (Neder-Over-Heembeek);50.905667;4.3969110000000455
Neder-Over-Heembeek (Bru.);50.905667;4.3969110000000455
Brussel (Haren);50.89562000000001;4.416749999999979
Bruxelles (Haeren);50.8921287;4.417596499999945
Haren (Brussel);50.89562000000001;4.416749999999979
Haren (Bruxelles);50.89562000000001;4.416749999999979
Brussel (Evere);50.8666667;4.399999999999977
Bruxelles (Evere);50.8666667;4.399999999999977
Evere;50.8666667;4.399999999999977
Brussel (Sint-Pieters-Woluwe);50.83618000000001;4.451630000000023
Bruxelles (Woluwe-Saint-Pierre);50.83618000000001;4.451630000000023
Sint-Pieters-Woluwe;50.83618000000001;4.451630000000023
Woluwe-Saint-Pierre;50.83618000000001;4.451630000000023
Auderghem;50.8166667;4.433333299999958
Brussel (Oudergem);50.8166667;4.433333299999958
Bruxelles (Auderghem);50.81643;4.426490000000058
Oudergem;50.8166667;4.433333299999958
Brussel (Watermaal-Bosvoorde);50.800919;4.414715000000001
Bruxelles (Watermael-Boitsfort);50.79749;4.424359999999979
Watermaal-Bosvoorde;50.800919;4.414715000000001
Watermael-Boitsfort;50.79749;4.424359999999979
Brussel (Ukkel);50.8;4.333333300000049
Bruxelles (Uccle);50.80240999999999;4.3406700000000455
Uccle;50.8;4.333333300000049
Ukkel;50.8;4.333333300000049
Brussel (Vorst);50.81745;4.326749999999947
Bruxelles (Forest);50.81745;4.326749999999947
Forest;50.81745;4.326749999999947
Vorst;50.81745;4.326749999999947
Brussel (Sint-Lambrechts-Woluwe);50.842365;4.4238920000000235
Bruxelles (Woluwe-Saint-Lambert);50.842365;4.4238920000000235
Sint-Lambrechts-Woluwe;50.842365;4.4238920000000235
Woluwe-Saint-Lambert;50.842365;4.4238920000000235
R.T.L. - T.V.I.;50.8574037;4.4297282
Brussel (Sint-Joost-ten-Node);50.8537715;4.370465700000068
Bruxelles (Saint-Josse-ten-Noode);50.8537715;4.370465700000068
Saint-Josse-ten-Noode;50.8537715;4.370465700000068
Sint-Joost-ten-Node;50.8537715;4.370465700000068
